shape,cost,frechet,hausdorff,iou,perceptual,dtw,turning,length_m,nodes,feat_routed,feat_total,feat_length_m
Crow,0.1849,0.0571,0.0963,0.366,0.0678,0.0074,0.775,8400.1,251,2,3,2819.9
Knight,0.2306,0.0708,0.1635,0.315,0.1004,0.0089,1.0306,9699.9,288,3,4,4019.1
Pawn,0.1396,0.0417,0.0448,0.321,0.1136,0.0085,1.1066,7206.5,212,0,0,0
Shark,0.1756,0.0858,0.0494,0.371,0.1156,0.009,1.0458,9288.8,272,1,1,66.3
circle,0.0582,0.0398,0.0426,0.435,0.0355,0.0063,0.6051,9817.6,293,0,0,0
donut,0.159,0.0416,0.0445,0.399,0.0435,0.0063,0.6184,8278.4,246,1,1,3981.9
face,0.1975,0.0402,0.0427,0.396,0.0349,0.0069,0.6493,9742.0,291,3,3,5478.4
lshape,0.1503,0.0397,0.3651,0.265,0.0787,0.0091,0.6707,11971.2,359,0,0,0
square,0.121,0.0467,0.3802,0.317,0.0506,0.0076,0.7176,9714.8,282,0,0,0
star,0.1533,0.0607,0.1088,0.334,0.1119,0.0089,0.8918,11292.9,329,0,0,0
